params,equity_curve
"[630, 3.9]",6.152357547048812
"[630, 3.2]",6.152357547048812
"[630, 3.8]",6.152357547048812
"[630, 3.7]",6.152357547048812
"[630, 3.6]",6.152357547048812
"[630, 3.5]",6.152357547048812
"[630, 3.3]",6.152357547048812
"[630, 3.4]",6.152357547048812
"[630, 3.1]",6.152357547048812
"[630, 3.0]",6.152357547048812
"[550, 4.0]",4.362912340128705
"[550, 4.4]",4.362912340128705
"[550, 4.6]",4.362912340128705
"[550, 4.7]",4.362912340128705
"[550, 4.9]",4.362912340128705
"[550, 4.3]",4.362912340128705
"[550, 4.2]",4.362912340128705
"[550, 4.1]",4.362912340128705
"[550, 4.5]",4.362912340128705
"[550, 4.8]",4.362912340128705
"[640, 3.6]",3.8705470758604
"[640, 3.1]",3.8705470758604
"[640, 3.9]",3.8705470758604
"[640, 3.8]",3.8705470758604
"[640, 3.7]",3.8705470758604
"[640, 3.0]",3.8705470758604
"[640, 3.5]",3.8705470758604
"[640, 3.2]",3.8705470758604
"[640, 3.3]",3.8705470758604
"[640, 3.4]",3.8705470758604
"[660, 3.9]",3.6337073806995304
"[660, 3.8]",3.6337073806995304
"[660, 3.6]",3.6337073806995304
"[660, 3.5]",3.6337073806995304
"[660, 3.7]",3.6337073806995304
"[660, 3.3]",3.6337073806995304
"[660, 3.2]",3.6337073806995304
"[660, 3.1]",3.6337073806995304
"[660, 3.0]",3.6337073806995304
"[660, 3.4]",3.6337073806995304
"[650, 3.9]",3.2972128294450744
"[650, 3.8]",3.2972128294450744
"[650, 3.7]",3.2972128294450744
"[650, 3.6]",3.2972128294450744
"[650, 3.5]",3.2972128294450744
"[650, 3.4]",3.2972128294450744
"[650, 3.0]",3.2972128294450744
"[650, 3.3]",3.2972128294450744
"[650, 3.2]",3.2972128294450744
"[650, 3.1]",3.2972128294450744
"[250, 4.3]",3.2069499439071376
"[250, 4.6]",3.2069499439071376
"[250, 4.4]",3.2069499439071376
"[250, 4.2]",3.2069499439071376
"[250, 4.1]",3.2069499439071376
"[250, 4.0]",3.2069499439071376
"[250, 4.5]",3.2069499439071376
"[250, 4.7]",3.2069499439071376
"[250, 4.8]",3.2069499439071376
"[250, 4.9]",3.2069499439071376
"[670, 3.5]",2.2885196936441576
"[670, 3.4]",2.2885196936441576
"[670, 3.6]",2.2885196936441576
"[670, 3.2]",2.2885196936441576
"[670, 3.1]",2.2885196936441576
"[670, 3.0]",2.2885196936441576
"[670, 3.7]",2.2885196936441576
