params,equity_curve
"[680, 3.8]",303.58465463995185
"[680, 3.7]",303.58465463995185
"[680, 3.6]",303.58465463995185
"[680, 3.5]",303.58465463995185
"[680, 3.4]",303.58465463995185
"[680, 3.3]",303.58465463995185
"[680, 3.2]",303.58465463995185
"[680, 3.1]",303.58465463995185
"[680, 3.0]",303.58465463995185
"[680, 3.9]",303.58465463995185
"[670, 3.4]",275.44510250035336
"[670, 3.0]",275.44510250035336
"[670, 3.1]",275.44510250035336
"[670, 3.2]",275.44510250035336
"[670, 3.3]",275.44510250035336
"[670, 3.5]",275.44510250035336
"[670, 3.6]",275.44510250035336
"[670, 3.7]",275.44510250035336
"[670, 3.8]",275.44510250035336
"[670, 3.9]",275.44510250035336
"[690, 3.8]",274.78692153948816
"[690, 3.0]",274.78692153948816
"[690, 3.1]",274.78692153948816
"[690, 3.2]",274.78692153948816
"[690, 3.3]",274.78692153948816
"[690, 3.4]",274.78692153948816
"[690, 3.5]",274.78692153948816
"[690, 3.6]",274.78692153948816
"[690, 3.7]",274.78692153948816
"[690, 3.9]",274.78692153948816
"[990, 4.9]",190.08895486849806
"[990, 4.8]",190.08895486849806
"[990, 4.7]",190.08895486849806
"[990, 4.6]",190.08895486849806
"[990, 4.5]",190.08895486849806
"[990, 4.4]",190.08895486849806
"[990, 4.3]",190.08895486849806
"[990, 4.2]",190.08895486849806
"[990, 4.0]",190.08895486849806
"[990, 4.1]",190.08895486849806
"[720, 3.7]",186.11922824075694
"[720, 3.6]",186.11922824075694
"[720, 3.8]",186.11922824075694
"[720, 3.9]",186.11922824075694
"[720, 3.5]",186.11922824075694
"[720, 3.4]",186.11922824075694
"[720, 3.3]",186.11922824075694
"[720, 3.2]",186.11922824075694
"[720, 3.1]",186.11922824075694
"[720, 3.0]",186.11922824075694
"[660, 3.7]",161.87216727123825
"[660, 3.9]",161.87216727123825
"[660, 3.6]",161.87216727123825
"[660, 3.0]",161.87216727123825
"[660, 3.1]",161.87216727123825
"[660, 3.2]",161.87216727123825
"[660, 3.3]",161.87216727123825
"[660, 3.4]",161.87216727123825
"[660, 3.8]",161.87216727123825
"[660, 3.5]",161.87216727123825
"[700, 3.4]",158.24147677374953
"[700, 3.0]",158.24147677374953
"[700, 3.2]",158.24147677374953
"[700, 3.3]",158.24147677374953
"[700, 3.1]",158.24147677374953
"[700, 3.5]",158.24147677374953
"[700, 3.6]",158.24147677374953
"[700, 3.7]",158.24147677374953
"[700, 3.8]",158.24147677374953
"[700, 3.9]",158.24147677374953
"[710, 3.4]",156.81745828918275
"[710, 3.9]",156.81745828918275
"[710, 3.7]",156.81745828918275
"[710, 3.6]",156.81745828918275
"[710, 3.5]",156.81745828918275
"[710, 3.8]",156.81745828918275
"[710, 3.3]",156.81745828918275
"[710, 3.1]",156.81745828918275
"[710, 3.0]",156.81745828918275
"[710, 3.2]",156.81745828918275
"[980, 4.0]",152.08136037990687
"[980, 4.7]",152.08136037990687
"[980, 4.6]",152.08136037990687
"[980, 4.5]",152.08136037990687
"[980, 4.4]",152.08136037990687
"[980, 4.3]",152.08136037990687
"[980, 4.2]",152.08136037990687
"[980, 4.1]",152.08136037990687
"[980, 4.8]",152.08136037990687
"[980, 4.9]",152.08136037990687
"[680, 2.9]",136.78622223574962
"[680, 2.7]",136.78622223574962
"[680, 2.6]",136.78622223574962
"[680, 2.2]",136.78622223574962
"[680, 2.5]",136.78622223574962
"[680, 2.4]",136.78622223574962
"[680, 2.3]",136.78622223574962
"[680, 2.8]",136.78622223574962
"[680, 2.1]",136.78622223574962
"[680, 2.0]",136.78622223574962
"[820, 3.7]",133.61052164662198
"[820, 3.6]",133.61052164662198
"[820, 3.5]",133.61052164662198
"[820, 3.4]",133.61052164662198
"[820, 3.2]",133.61052164662198
"[820, 3.1]",133.61052164662198
"[820, 3.0]",133.61052164662198
"[820, 3.3]",133.61052164662198
"[820, 3.8]",133.61052164662198
"[820, 3.9]",133.61052164662198
"[780, 3.5]",123.98129946893695
"[780, 3.9]",123.98129946893695
"[780, 3.1]",123.98129946893695
"[780, 3.2]",123.98129946893695
"[780, 3.3]",123.98129946893695
"[780, 3.4]",123.98129946893695
"[780, 3.6]",123.98129946893695
"[780, 3.7]",123.98129946893695
"[780, 3.8]",123.98129946893695
"[780, 3.0]",123.98129946893695
"[790, 3.7]",119.61116875554472
"[790, 3.4]",119.61116875554472
"[790, 3.0]",119.61116875554472
"[790, 3.6]",119.61116875554472
"[790, 3.5]",119.61116875554472
"[790, 3.9]",119.61116875554472
"[790, 3.3]",119.61116875554472
"[790, 3.8]",119.61116875554472
"[790, 3.2]",119.61116875554472
"[790, 3.1]",119.61116875554472
"[730, 3.0]",105.34548091669394
"[730, 3.1]",105.34548091669394
"[730, 3.2]",105.34548091669394
"[730, 3.3]",105.34548091669394
"[730, 3.4]",105.34548091669394
"[730, 3.5]",105.34548091669394
"[730, 3.6]",105.34548091669394
"[730, 3.7]",105.34548091669394
"[730, 3.9]",105.34548091669394
"[730, 3.8]",105.34548091669394
"[630, 3.7]",103.68478493446327
"[630, 3.5]",103.68478493446327
"[630, 3.9]",103.68478493446327
"[630, 3.0]",103.68478493446327
"[630, 3.1]",103.68478493446327
"[630, 3.2]",103.68478493446327
"[630, 3.3]",103.68478493446327
"[630, 3.4]",103.68478493446327
"[630, 3.6]",103.68478493446327
"[630, 3.8]",103.68478493446327
